    SIZE INTERVAL   1
   WAVl        QEXT      W0      gf
     0.2563      7.9946578e-04      1.8660743e-08     9.6501123e-07
     0.2795      6.4532924e-04      1.5746960e-08     8.1030033e-07
     0.2965      5.5626556e-04      1.3855670e-08     7.0906669e-07
     0.3186      4.7340384e-04      1.1744817e-08     6.1143447e-07
     0.3355      4.1335954e-04      1.0646432e-08     5.4770822e-07
     0.3650      3.1874141e-04      9.8240067e-09     4.6424339e-07
     0.4200      1.8432682e-04      1.0884596e-08     3.6438936e-07
     0.4950      8.5655853e-05      1.2792384e-08     2.7647328e-07
     0.5448      5.2562528e-05      1.3722107e-08     2.2306735e-07
     0.5581      4.6135602e-05      1.3981642e-08     2.0880432e-07
     0.5858      3.5686329e-05      1.4851565e-08     1.9064674e-07
     0.6150      2.7325568e-05      1.5913699e-08     1.7445373e-07
     0.6459      2.0600940e-05      1.7120505e-08     1.5731797e-07
     0.6790      1.5221947e-05      1.8514935e-08     1.3896219e-07
     0.7210      1.0670689e-05      2.0769907e-08     1.2445383e-07
     0.7680      7.2409726e-06      2.3746100e-08     1.1120958e-07
     0.8130      4.9953639e-06      2.6994496e-08     9.8528911e-08
     0.8670      3.1995684e-06      3.1484351e-08     8.3312109e-08
     0.9260      2.0863677e-06      3.6994223e-08     7.3463154e-08
     1.0000      1.2308178e-06      4.5242903e-08     6.2090345e-08
     1.0500      9.4852835e-07      4.8237278e-08     5.6182084e-08
     1.1000      7.6478543e-07      4.9718411e-08     5.1109623e-08
     1.1700      5.5019147e-07      5.3667697e-08     4.3952960e-08
     1.2500      4.3258233e-07      5.2308145e-08     3.8490258e-08
     1.3700      3.4028277e-07      4.5012030e-08     3.3003802e-08
     1.5000      3.0750902e-07      3.5702106e-08     2.8640182e-08
     1.6300      2.8110107e-07      2.8115991e-08     2.3529355e-08
     1.7700      2.5519225e-07      2.1738668e-08     1.8025388e-08
     1.9400      3.5297780e-07      1.0552382e-08     1.7182413e-08
     2.1100      4.2742047e-07      6.2365351e-09     1.4877245e-08
     2.3400      4.0238265e-07      4.2937589e-09     1.6493234e-08
     2.5700      1.0486103e-06      1.0955572e-09     7.9246868e-09
     2.7900      7.5545014e-06      1.0177427e-10     9.2680498e-09
     3.0800      2.5453341e-05      2.2836381e-11     7.5527679e-09
     3.4100      1.2847463e-05      3.2009833e-11     1.8209273e-09
     3.7900      5.0366134e-06      5.2822420e-11    -6.4097281e-11
     4.0900      3.1265995e-06      6.1003202e-11     1.0626144e-08
     4.3600      2.8033396e-06      5.0212809e-11     2.4863677e-08
    SIZE INTERVAL   2
   WAVl        QEXT      W0      gf
     0.2563      1.5989538e-03      1.4928445e-07     5.2078554e-06
     0.2795      1.2906734e-03      1.2597462e-07     4.3789703e-06
     0.2965      1.1125422e-03      1.1084455e-07     3.8400208e-06
     0.3186      9.4681574e-04      9.3957943e-08     3.3205832e-06
     0.3355      8.2672534e-04      8.5170972e-08     2.9793232e-06
     0.3650      6.3748691e-04      7.8591675e-08     2.3319721e-06
     0.4200      3.6865557e-04      8.7076440e-08     1.4572751e-06
     0.4950      1.7131240e-04      1.0233877e-07     1.1053831e-06
     0.5448      1.0512540e-04      1.0977660e-07     8.9097507e-07
     0.5581      9.2271489e-05      1.1185290e-07     8.3371349e-07
     0.5858      7.1372858e-05      1.1881229e-07     7.6145917e-07
     0.6150      5.4651277e-05      1.2730936e-07     6.9729082e-07
     0.6459      4.1201975e-05      1.3696381e-07     6.2938664e-07
     0.6790      3.0443957e-05      1.4811926e-07     5.5664785e-07
     0.7210      2.1341417e-05      1.6615903e-07     4.9900752e-07
     0.7680      1.4481970e-05      1.8996856e-07     4.4630854e-07
     0.8130      9.9907431e-06      2.1595572e-07     3.9585207e-07
     0.8670      6.3991454e-06      2.5187456e-07     3.3530430e-07
     0.9260      4.1727408e-06      2.9595349e-07     2.9602889e-07
     1.0000      2.4616384e-06      3.6194288e-07     2.5065560e-07
     1.0500      1.8970588e-06      3.8589787e-07     2.2742275e-07
     1.1000      1.5295725e-06      3.9774693e-07     2.0768393e-07
     1.1700      1.1003841e-06      4.2934120e-07     1.8180529e-07
     1.2500      8.6516548e-07      4.1846483e-07     1.6048206e-07
     1.3700      6.8056605e-07      3.6009601e-07     1.3159589e-07
     1.5000      6.1501844e-07      2.8561669e-07     1.1457653e-07
     1.6300      5.6220242e-07      2.2492784e-07     9.8139563e-08
     1.7700      5.1038469e-07      1.7390930e-07     8.0438218e-08
     1.9400      7.0595577e-07      8.4419041e-08     6.4889426e-08
     2.1100      8.5484113e-07      4.9892271e-08     5.4349660e-08
     2.3400      8.0476544e-07      3.4350067e-08     4.4459846e-08
     2.5700      2.0972208e-06      8.7644572e-09     3.7399093e-08
     2.7900      1.5109004e-05      8.1419408e-10     3.2004844e-08
     3.0800      5.0906686e-05      1.8269104e-10     2.5367363e-08
     3.4100      2.5694928e-05      2.5607865e-10     2.0363251e-08
     3.7900      1.0073227e-05      4.2257935e-10     1.6679603e-08
     4.0900      6.2531995e-06      4.8802558e-10     1.1146021e-08
     4.3600      5.6066797e-06      4.0170241e-10     1.1722797e-08
    SIZE INTERVAL   3
   WAVl        QEXT      W0      gf
     0.2563      2.3984866e-03      5.0382653e-07     1.1717652e-05
     0.2795      1.9360476e-03      4.2515834e-07     9.8526802e-06
     0.2965      1.6688413e-03      3.7409572e-07     8.6400453e-06
     0.3186      1.4202440e-03      3.1710467e-07     7.4713310e-06
     0.3355      1.2401038e-03      2.8744928e-07     6.7034722e-06
     0.3650      9.5624065e-04      2.6524476e-07     5.6770749e-06
     0.4200      5.5298822e-04      2.9388112e-07     4.4035771e-06
     0.4950      2.5697036e-04      3.4539165e-07     3.0590444e-06
     0.5448      1.5768898e-04      3.7049451e-07     2.1609610e-06
     0.5581      1.3840795e-04      3.7750207e-07     1.9211114e-06
     0.5858      1.0705980e-04      4.0099004e-07     1.7133935e-06
     0.6150      8.1977279e-05      4.2966768e-07     1.5689182e-06
     0.6459      6.1803213e-05      4.6225148e-07     1.4160317e-06
     0.6790      4.5666101e-05      4.9990116e-07     1.2522600e-06
     0.7210      3.2012232e-05      5.6078534e-07     1.1225433e-06
     0.7680      2.1723022e-05      6.4114239e-07     1.0039801e-06
     0.8130      1.4986157e-05      7.2884895e-07     8.9046204e-07
     0.8670      9.5987426e-06      8.5007488e-07     7.5424042e-07
     0.9260      6.2591263e-06      9.9884104e-07     6.6595747e-07
     1.0000      3.6924662e-06      1.2215548e-06     5.6398720e-07
     1.0500      2.8455945e-06      1.3024028e-06     5.1169824e-07
     1.1000      2.2943635e-06      1.3423934e-06     4.6722571e-07
     1.1700      1.6505794e-06      1.4490240e-06     4.0906911e-07
     1.2500      1.2977507e-06      1.4123165e-06     3.6116520e-07
     1.3700      1.0208507e-06      1.2153224e-06     2.9592920e-07
